Fecha, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, X, Y 
1/7/2016,, INSTRUCCIONES DEL AÑO XIII, COLISIÓN ENTRE VEHÍCULOS, GRAVE, JUEVES, 22, PAYSANDU, PAYSANDU, 398715, 6425915 
9/8/2016,, JOSE PEDRO VARELA, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 20, SALTO, SALTO, 408030, 6526680 
12/22/2016,, CONTINUACION SARANDI ENTRE 12 OCTUBRE  Y JOSE NEMESIO ESCOBAR, ATROPELLO DE ANIMALES, LEVE, JUEVES, 0, RIVERA, RIVERA, 638770, 6578945 
6/23/2016,, MONTEVIDEO, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 21, PAYSANDU, PAYSANDU, 397665, 6422955 
3/10/2016,, GENERAL JOSE G. ARTIGAS, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 0, SALTO, SALTO, 408070, 6526935 
2/3/2016,, PABLO G. RIOS, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 10, TACUAREMBO, TACUAREMBO, 597220, 6489750 
11/30/2016,, AVENIDA MANUEL ORIBE, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 17, RIVERA, RIVERA, 639935, 6579255 
10/13/2016,, AVENIDA GOBERNADOR DE VIANA, ATROPELLO DE ANIMALES, LEVE, JUEVES, 9, SALTO, SALTO, 409990, 6526165 
6/22/2016,, BOULEVARD JOSE GERVASIO ARTIGAS, CAÍDA, LEVE, MIÉRCOLES, 10, TACUAREMBO, PASO DE LOS TOROS, 546490, 6369005 
10/6/2016,, RUTA 3 Y ATILIO FERRANDIS, COLISIÓN ENTRE VEHÍCULOS, GRAVE, JUEVES, 20, ARTIGAS, BELLA UNION, 443040, 6652570 
3/24/2016,, AVENIDA PASCUAL HARRIAGUE, DESPISTE, LEVE, JUEVES, 16, SALTO, SALTO, 408750, 6526060 
5/18/2016,, DIECIOCHO DE JULIO, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 21, RIO NEGRO, FRAY BENTOS, 378530, 6334140 
11/3/2016,, PRESBITERO SOLANO GARCIA, ATROPELLO DE PEATÓN, GRAVE, JUEVES, 8, PAYSANDU, PAYSANDU, 400055, 6424460 
8/18/2016,, AVENIDA SORIANO, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 13, PAYSANDU, PAYSANDU, 398085, 6422900 
12/29/2016,, GENERAL FRUCTUOSO RIVERA, CAÍDA, LEVE, JUEVES, 23, SALTO, SALTO, 410040, 6526590 
9/1/2016,, BOULEVARD GENERAL JOSE G. ARTIGAS, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 7, PAYSANDU, PAYSANDU, 399155, 6423360 
7/20/2016,, CONSEJAL JOSE BENELLI, COLISIÓN ENTRE VEHÍCULOS, GRAVE, MIÉRCOLES, 18, TACUAREMBO, TACUAREMBO, 595215, 6490495 
4/7/2016,, AVENIDA CORONEL CARLOS LECUEDER, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 11, ARTIGAS, ARTIGAS, 550685, 6635970 
6/23/2016,, WASHINGTON BELTRAN, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, JUEVES, 10, TACUAREMBO, TACUAREMBO, 596645, 6490510 
6/16/2016,, VEINTICINCO DE MAYO, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 14, TACUAREMBO, TACUAREMBO, 596695, 6491140 
3/17/2016,, BOULEVARD GENERAL JOSE G. ARTIGAS, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, JUEVES, 7, PAYSANDU, PAYSANDU, 399495, 6425985 
10/19/2016,, MONTEVIDEO, DESPISTE, SIN LESIONADOS, MIÉRCOLES, 18, PAYSANDU, PAYSANDU, 397710, 6423180 
2/4/2016,, DOCTOR VICTORINO PEREYRA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, JUEVES, 17, TACUAREMBO, TACUAREMBO, 597490, 6490930 
10/6/2016,, TREINTA Y TRES ORIENTALES, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, JUEVES, 9, PAYSANDU, PAYSANDU, 397640, 6423405 
5/4/2016,, BENITO SOLARI, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 18, SALTO, SALTO, 407775, 6525065 
7/28/2016,, NO SE INGRESO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, JUEVES, 20, TACUAREMBO, SIN DATOS, 600300, 6492705 
8/18/2016,, COSTANERA SUR TOMAS BERRETA, DESPISTE, LEVE, JUEVES, 23, SALTO, SALTO, 406405, 6526010 
9/28/2016,, MEVIR 4, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 8, PAYSANDU, SIN DATOS, 416190, 6467045 
2/10/2016,, , COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 23, TACUAREMBO, TACUAREMBO, 592345, 6488395 
4/6/2016,, AVENIDA SORIANO, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 19, PAYSANDU, PAYSANDU, 398085, 6422900 
2/11/2016,, JUAN ORTIZ, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 8, TACUAREMBO, TACUAREMBO, 596440, 6490155 
4/27/2016,, URUGUAY, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 3, PAYSANDU, PAYSANDU, 398450, 6424040 
7/7/2016,, DIECIOCHO DE JULIO, COLISIÓN CON OBSTÁCULO EN CALZADA, LEVE, JUEVES, 5, TACUAREMBO, TACUAREMBO, 595745, 6489990 
3/3/2016,, DIECIOCHO DE JULIO, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 8, TACUAREMBO, PASO DE LOS TOROS, 545725, 6369530 
9/21/2016,, ITACUMBU, ATROPELLO DE ANIMALES, SIN LESIONADOS, MIÉRCOLES, 22, ARTIGAS, SIN DATOS, 443315, 6642000 
12/29/2016,, DOCTOR CATALINA, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 13, TACUAREMBO, TACUAREMBO, 596145, 6490850 
12/22/2016,, ITUZAINGO, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 15, RIVERA, RIVERA, 639855, 6580865 
