Fecha, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, X, Y 
11/25/2017,, EDUARDO M. CASTRO, ATROPELLO DE PEATÓN, LEVE, SÁBADO, 15, ARTIGAS, ARTIGAS, 551825, 6636595 
4/8/2017,, YACUI, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 8, SALTO, SALTO, 409065, 6525425 
9/5/2017,, CORRIENTES, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 20, SALTO, SALTO, 407480, 6526060 
5/2/2017,, VIZCONDE DE MAUA, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 22, PAYSANDU, PAYSANDU, 398460, 6424140 
3/11/2017,, WILSON FERREIRA ALDUNATE, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 12, PAYSANDU, PAYSANDU, 399900, 6424735 
1/7/2017,, DIECIOCHO DE JULIO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 21, TACUAREMBO, TACUAREMBO, 596160, 6490425 
2/11/2017,, REPUBLICA ARGENTINA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 11, PAYSANDU, PAYSANDU, 399385, 6423690 
7/29/2017,, DAMASO ANTONIO LARRAÑAGA, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 6, SALTO, SALTO, 407880, 6525050 
4/15/2017,, BOULEVARD GENERAL JOSE G. ARTIGAS, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 19, PAYSANDU, PAYSANDU, 399495, 6425985 
2/4/2017,, GENERAL JOSE G. ARTIGAS, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 12, SALTO, SALTO, 407805, 6526965 
